ASV	SOT22-A-t0-euk	SOT22-B-t0-euk	SOT22-C-t0-euk	SOT22-P1-t1-euk	SOT22-P1-t2-euk	SOT22-P1-t3-euk	SOT22-P1-t4-euk	SOT22-P1-t5-euk	SOT22-P1-t6-euk	SOT22-P1-t7-euk	SOT22-P1-t8-euk	SOT22-P1-t9-euk	SOT22-P10-t1-euk	SOT22-P10-t2-euk	SOT22-P10-t3-euk	SOT22-P10-t4-euk	SOT22-P10-t5-euk	SOT22-P10-t6-euk	SOT22-P10-t7-euk	SOT22-P10-t8-euk	SOT22-P10-t9-euk	SOT22-P11-t1-euk	SOT22-P11-t2-euk	SOT22-P11-t3-euk	SOT22-P11-t4-euk	SOT22-P11-t5-euk	SOT22-P11-t6-euk	SOT22-P11-t7-euk	SOT22-P11-t8-euk	SOT22-P11-t9-euk	SOT22-P12-t1-euk	SOT22-P12-t2-euk	SOT22-P12-t3-euk	SOT22-P12-t4-euk	SOT22-P12-t5-euk	SOT22-P12-t6-euk	SOT22-P12-t7-euk	SOT22-P12-t8-euk	SOT22-P12-t9-euk	SOT22-P2-t1-euk	SOT22-P2-t2-euk	SOT22-P2-t3-euk	SOT22-P2-t4-euk	SOT22-P2-t5-euk	SOT22-P2-t6-euk	SOT22-P2-t7-euk	SOT22-P2-t8-euk	SOT22-P2-t9-euk	SOT22-P3-t1-euk	SOT22-P3-t2-euk	SOT22-P3-t3-euk	SOT22-P3-t4-euk	SOT22-P3-t5-euk	SOT22-P3-t6-euk	SOT22-P3-t7-euk	SOT22-P3-t8-euk	SOT22-P3-t9-euk	SOT22-P4-t1-euk	SOT22-P4-t2-euk	SOT22-P4-t3-euk	SOT22-P4-t4-euk	SOT22-P4-t5-euk	SOT22-P4-t6-euk	SOT22-P4-t7-euk	SOT22-P4-t8-euk	SOT22-P4-t9-euk	SOT22-P5-t1-euk	SOT22-P5-t2-euk	SOT22-P5-t3-euk	SOT22-P5-t4-euk	SOT22-P5-t5-euk	SOT22-P5-t6-euk	SOT22-P5-t7-euk	SOT22-P5-t8-euk	SOT22-P5-t9-euk	SOT22-P6-t1-euk	SOT22-P6-t2-euk	SOT22-P6-t3-euk	SOT22-P6-t4-euk	SOT22-P6-t5-euk	SOT22-P6-t6-euk	SOT22-P6-t7-euk	SOT22-P6-t8-euk	SOT22-P6-t9-euk	SOT22-P7-t1-euk	SOT22-P7-t2-euk	SOT22-P7-t3-euk	SOT22-P7-t4-euk	SOT22-P7-t5-euk	SOT22-P7-t6-euk	SOT22-P7-t7-euk	SOT22-P7-t8-euk	SOT22-P7-t9-euk	SOT22-P8-t1-euk	SOT22-P8-t2-euk	SOT22-P8-t3-euk	SOT22-P8-t4-euk	SOT22-P8-t5-euk	SOT22-P8-t6-euk	SOT22-P8-t7-euk	SOT22-P8-t8-euk	SOT22-P8-t9-euk	SOT22-P9-t1-euk	SOT22-P9-t2-euk	SOT22-P9-t3-euk	SOT22-P9-t4-euk	SOT22-P9-t5-euk	SOT22-P9-t6-euk	SOT22-P9-t7-euk	SOT22-P9-t8-euk	SOT22-P9-t9-euk
ASV_00001	28	30	3	27	35	46	50	175	144	531	2604	4885	94	19	49	43	36	16	0	2	10	97	62	37	61	169	111	160	204	227	252	79	211	266	1230	3504	47	0	8	8	10	30	64	34	15	5	26	3	64	70	91	68	535	623	3034	5826	4715	30	29	516	565	681	4591	55	277	23	29	14	38	3	12	57	0	325	3	11	19	15	11	2	12	7	0	5	35	26	72	64	545	879	1168	0	2255	19	34	137	260	1037	5805	16945	0	4537	14	55	51	50	91	107	137	126	60
ASV_00002	0	0	4	7	0	1	0	0	0	0	26	62	1	0	0	0	0	0	0	3	0	0	5	2	1	0	0	0	0	0	0	1	0	0	0	0	0	691	0	3	9	4	0	0	0	0	9	1	4	0	0	0	0	2	3	8	2	6	0	0	2	999	0	3	8	1071	323	0	0	0	0	2	0	9	8	85	0	0	8	0	1583	0	0	6	5	4710	5	0	3	0	0	0	0	6	0	0	2	0	0	3	2	3	2	0	0	0	0	0	0	0	0
ASV_00003	0	0	6	0	0	0	0	0	0	0	3	0	2	0	0	4	0	2	0	0	0	3	1	0	0	2	0	5	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_00004	91259	79611	4608	55848	24	29	15	20	0	0	7	0	220400	163	171	3663	4	2	6	0	6	2241	15096	12098	1	187	1657	6	3233	3583	147809	16	65	8	39	0	0	6	0	66506	11081	12	3	4	1	0	2	0	33077	7	13	0	248	0	8	1	9	416	12650	0	3	0	0	1	8	0	75658	9976	13	3	11121	11	6	39	5	35561	6136	8170	5570	0	0	0	0	2	203	2084	3	10	3333	9	19933	27	33	309	13799	0	0	28	0	6	0	0	56420	13	8	16	59	0	21	0	8
ASV_00005	0	5	0	129	173	192	219	51	13	96	116	0	0	93	62	155	1178	278	294	226	64	0	91	15	48	122	0	0	0	0	13	100	6	8	0	4	0	0	0	332	10	0	161	153	42	88	24	38	0	3	23	0	12	0	5	0	0	0	0	29	48	5	5	30	47	0	0	0	0	0	63	7	70	1775	78	157	366	0	30	0	101	179	0	92	24	0	218	81	0	2	0	0	0	204	0	6	78	0	288	127	0	44	117	0	0	0	5	0	0	2	10
ASV_00006	0	0	0	3	0	0	0	0	0	0	4	0	4	0	0	0	4	0	0	5	0	0	0	3	3	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	3	0	0	0	5	0	0	1	1	0	0	5	0	0	0	4	0	0	0	0	3	3	0	2	5	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	3	3	0	0
ASV_00007	266	291	144	248	82	189	92	143	92	381	3455	2783	547	43	51	176	1207	813	1984	1749	3133	528	85	118	252	291	195	553	523	3049	754	198	438	819	825	206	0	330	847	196	94	109	201	1627	1147	1434	2384	2481	192	103	220	169	494	575	174	201	60	243	105	299	847	705	372	699	501	78	331	55	114	34	1638	2811	4258	336275	12670	227	38	64	248	493	2161	4577	8	7919	191	81	57	1	16	26	86	4	245	159	60	183	562	1239	1094	769	0	458	62	98	183	257	101	112	76	64	44
ASV_00008	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	3	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	3	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	7	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0
ASV_00009	14447	11610	10779	35960	14519	1104	167	72	50	103	175	238	75480	8216	8031	748	169	232	137	163	98	53498	5438	1697	754	1053	96	490	186	17	62793	7920	2328	1122	140	31	0	36	21	16975	7784	7801	283	96	97	200	117	83	20480	5793	1065	119	276	267	426	1150	395	19107	4440	1197	197	193	189	294	48	14	16780	5907	2277	68	85	21	56	468	18	24483	4325	1583	148	48	75	78	22	78	36330	13053	511	34	27	14	12	12	0	14634	6915	2493	454	178	50	79	0	14	26745	10491	1268	559	214	20	0	0	0
ASV_00010	54504	8226	952	145	0	0	12	2206	17	55	725	2179	15931	2579	361	0	1857	15	12	2436	4323	89107	0	11	11	72	382	5	25963	20879	203	36	67	0	47	6018	0	11	4	221	556	34	40	15929	2	22	2017	18	13115	146	8071	2026	6	1910	8651	4531	2211	22409	32	6	2	2247	1538	937	3903	399	164	362	9	0	14	3	138	63	1200	22085	10	0	0	1	108	38	8	38	341	4378	5	252	13	3494	169	3	490	17622	3	5	7	38	2706	42793	0	16109	880	28	0	2	2842	1195	664	9764	2840
