sample_ID	cosm	temp	rep	day	uni_ID
SOT22-A-t0-euk	P0	6	A	0	6-0
SOT22-B-t0-euk	P0	6	B	0	6-0
SOT22-C-t0-euk	P0	6	C	0	6-0
SOT22-P1-t1-euk	P1	18	A	3	18-3
SOT22-P1-t2-euk	P1	18	A	6	18-6
SOT22-P1-t3-euk	P1	18	A	9	18-9
SOT22-P1-t4-euk	P1	18	A	12	18-12
SOT22-P1-t5-euk	P1	18	A	15	18-15
SOT22-P1-t6-euk	P1	18	A	18	18-18
SOT22-P1-t7-euk	P1	18	A	21	18-21
SOT22-P1-t8-euk	P1	18	A	24	18-24
SOT22-P1-t9-euk	P1	18	A	27	18-27
SOT22-P10-t1-euk	P10	6	D	3	6-3
SOT22-P10-t2-euk	P10	6	D	6	6-6
SOT22-P10-t3-euk	P10	6	D	9	6-9
SOT22-P10-t4-euk	P10	6	D	12	6-12
SOT22-P10-t5-euk	P10	6	D	15	6-15
SOT22-P10-t6-euk	P10	6	D	18	6-18
SOT22-P10-t7-euk	P10	6	D	21	6-21
SOT22-P10-t8-euk	P10	6	D	24	6-24
SOT22-P10-t9-euk	P10	6	D	27	6-27
SOT22-P11-t1-euk	P11	12	D	3	12-3
SOT22-P11-t2-euk	P11	12	D	6	12-6
SOT22-P11-t3-euk	P11	12	D	9	12-9
SOT22-P11-t4-euk	P11	12	D	12	12-12
SOT22-P11-t5-euk	P11	12	D	15	12-15
SOT22-P11-t6-euk	P11	12	D	18	12-18
SOT22-P11-t7-euk	P11	12	D	21	12-21
SOT22-P11-t8-euk	P11	12	D	24	12-24
SOT22-P11-t9-euk	P11	12	D	27	12-27
SOT22-P12-t1-euk	P12	18	D	3	18-3
SOT22-P12-t2-euk	P12	18	D	6	18-6
SOT22-P12-t3-euk	P12	18	D	9	18-9
SOT22-P12-t4-euk	P12	18	D	12	18-12
SOT22-P12-t5-euk	P12	18	D	15	18-15
SOT22-P12-t6-euk	P12	18	D	18	18-18
SOT22-P12-t7-euk	P12	18	D	21	18-21
SOT22-P12-t8-euk	P12	18	D	24	18-24
SOT22-P12-t9-euk	P12	18	D	27	18-27
SOT22-P2-t1-euk	P2	6	A	3	6-3
SOT22-P2-t2-euk	P2	6	A	6	6-6
SOT22-P2-t3-euk	P2	6	A	9	6-9
SOT22-P2-t4-euk	P2	6	A	12	6-12
SOT22-P2-t5-euk	P2	6	A	15	6-15
SOT22-P2-t6-euk	P2	6	A	18	6-18
SOT22-P2-t7-euk	P2	6	A	21	6-21
SOT22-P2-t8-euk	P2	6	A	24	6-24
SOT22-P2-t9-euk	P2	6	A	27	6-27
SOT22-P3-t1-euk	P3	12	A	3	12-3
SOT22-P3-t2-euk	P3	12	A	6	12-6
SOT22-P3-t3-euk	P3	12	A	9	12-9
SOT22-P3-t4-euk	P3	12	A	12	12-12
SOT22-P3-t5-euk	P3	12	A	15	12-15
SOT22-P3-t6-euk	P3	12	A	18	12-18
SOT22-P3-t7-euk	P3	12	A	21	12-21
SOT22-P3-t8-euk	P3	12	A	24	12-24
SOT22-P3-t9-euk	P3	12	A	27	12-27
SOT22-P4-t1-euk	P4	18	B	3	18-3
SOT22-P4-t2-euk	P4	18	B	6	18-6
SOT22-P4-t3-euk	P4	18	B	9	18-9
SOT22-P4-t4-euk	P4	18	B	12	18-12
SOT22-P4-t5-euk	P4	18	B	15	18-15
SOT22-P4-t6-euk	P4	18	B	18	18-18
SOT22-P4-t7-euk	P4	18	B	21	18-21
SOT22-P4-t8-euk	P4	18	B	24	18-24
SOT22-P4-t9-euk	P4	18	B	27	18-27
SOT22-P5-t1-euk	P5	6	B	3	6-3
SOT22-P5-t2-euk	P5	6	B	6	6-6
SOT22-P5-t3-euk	P5	6	B	9	6-9
SOT22-P5-t4-euk	P5	6	B	12	6-12
SOT22-P5-t5-euk	P5	6	B	15	6-15
SOT22-P5-t6-euk	P5	6	B	18	6-18
SOT22-P5-t7-euk	P5	6	B	21	6-21
SOT22-P5-t8-euk	P5	6	B	24	6-24
SOT22-P5-t9-euk	P5	6	B	27	6-27
SOT22-P6-t1-euk	P6	6	C	3	6-3
SOT22-P6-t2-euk	P6	6	C	6	6-6
SOT22-P6-t3-euk	P6	6	C	9	6-9
SOT22-P6-t4-euk	P6	6	C	12	6-12
SOT22-P6-t5-euk	P6	6	C	15	6-15
SOT22-P6-t6-euk	P6	6	C	18	6-18
SOT22-P6-t7-euk	P6	6	C	21	6-21
SOT22-P6-t8-euk	P6	6	C	24	6-24
SOT22-P6-t9-euk	P6	6	C	27	6-27
SOT22-P7-t1-euk	P7	18	C	3	18-3
SOT22-P7-t2-euk	P7	18	C	6	18-6
SOT22-P7-t3-euk	P7	18	C	9	18-9
SOT22-P7-t4-euk	P7	18	C	12	18-12
SOT22-P7-t5-euk	P7	18	C	15	18-15
SOT22-P7-t6-euk	P7	18	C	18	18-18
SOT22-P7-t7-euk	P7	18	C	21	18-21
SOT22-P7-t8-euk	P7	18	C	24	18-24
SOT22-P7-t9-euk	P7	18	C	27	18-27
SOT22-P8-t1-euk	P8	12	B	3	12-3
SOT22-P8-t2-euk	P8	12	B	6	12-6
SOT22-P8-t3-euk	P8	12	B	9	12-9
SOT22-P8-t4-euk	P8	12	B	12	12-12
SOT22-P8-t5-euk	P8	12	B	15	12-15
SOT22-P8-t6-euk	P8	12	B	18	12-18
SOT22-P8-t7-euk	P8	12	B	21	12-21
SOT22-P8-t8-euk	P8	12	B	24	12-24
SOT22-P8-t9-euk	P8	12	B	27	12-27
SOT22-P9-t1-euk	P9	12	C	3	12-3
SOT22-P9-t2-euk	P9	12	C	6	12-6
SOT22-P9-t3-euk	P9	12	C	9	12-9
SOT22-P9-t4-euk	P9	12	C	12	12-12
SOT22-P9-t5-euk	P9	12	C	15	12-15
SOT22-P9-t6-euk	P9	12	C	18	12-18
SOT22-P9-t7-euk	P9	12	C	21	12-21
SOT22-P9-t8-euk	P9	12	C	24	12-24
SOT22-P9-t9-euk	P9	12	C	27	12-27
